Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
IPCALAB,★,55.0,Wait for Pullback · Bull,2/5 · no PA · PB,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,pivot only ✗ · thin R:R,10.4,Bull,—,4,9.0,82.5,40.0,8.5,2,66.0,8/8,None,—,0,STRONG 4/5,,6/7,B GOOD,Healthcare,1967.2,1959.1,0.4,-1.7,39.3,62%,1967.2,1832.2,6.9,2129.1,0.2,0.25R · lastPH,LEADING,Rigorous,Pullback,
RADICO,,53.6,Wait for Pullback · Bull,4/5 · no PA · PB · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pattern M · below EMA20,0.0,Bull,—,4,8.5,62.0,15.0,19.3,2,52.0,8/8,None,—,0,STRONG 5/5,,6/7,B GOOD,Consumer Defensive,4485.0,4444.0,0.9,-5.5,84.6,60%,4485.0,4370.2,2.6,4773.8,0.7,0.65R · lastPH,LEADING,Discovery,At Value,
MODEFENCE,,53.4,Buy Trigger Live · Bull,4/5 · weak bar · F? · RRG·,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,ETF,,False,,REACTING off pivot,8.1,Bull,—,5,5.0,50.0,80.0,4.6,2,48.6,8/8,None,—,2,ETF  ·  ₹13.4Cr  ·  NAV -0.8%,,,,,109.0,109.7,-0.7,-1.6,,80%,109.0,107.1,1.7,116.2,0.5,0.54R · SZ band top,WEAKENING,Rigorous,ETF,
NYKAA,★,53.0,Wait for Pullback · Bull,⛔ funda,BULL (+6) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · thin R:R,19.8,Bull,—,2,8.5,80.0,60.0,11.7,2,55.3,8/8,None,—,0,OK 2/5,,3/7,C FAIR,Consumer Cyclical,341.0,341.0,0.0,-2.4,1141.0,55%,341.0,326.5,4.3,364.4,0.5,0.48R · S/R·D,LEADING,Rigorous,Pullback,
CHOLAFIN,,53.0,Buy Trigger Live · Bull,5/5 GO · PB · ↑W · RRG·,STRONG BULL (+13) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,⚠ AT pattern W · below EMA20 / below value,0.0,Bull,—,5,6.5,51.5,0.0,7.1,2,65.0,6/8,None,✓,3,STRONG 5/5,,,D WEAK,Financial Services,1823.4,1848.2,-1.3,-6.6,27.2,69%,1823.4,1772.0,2.8,1956.5,0.7,0.71R · lastPH,LEADING,Discovery,At Value,
SONACOMS,,52.6,Wait for Pullback · Bull,4/5 · no PA · PB,BULL (+8) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,HELD 258 @ 770.1,False,,AT pivot+conf · thin R:R,8.9,Bull,—,4,6.5,61.0,30.0,18.2,2,57.4,8/8,None,✓,0,STRONG 4/5,,4/7,C FAIR,Consumer Cyclical,804.0,788.0,2.0,-4.7,64.3,48%,804.0,765.5,4.8,869.1,0.0,0.04R · S/R·W,LEADING,Discovery,At Value,
HONASA,,52.4,Wait for Pullback · Bull,2/5 · no PA · PB · ↑W · RRG·,BULL (+8) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,False,,REACTING off pattern W · below EMA20 / below value,0.0,Bull,—,4,8.0,56.0,15.0,18.3,2,64.1,8/8,None,—,0,STRONG 5/5,,5/7,C FAIR,Consumer Defensive,473.0,476.1,-0.6,-7.2,64.4,54%,473.0,456.7,3.4,520.5,1.1,1.15R · SZ band top,WEAKENING,Discovery,At Value,
COFORGE,,51.5,Wait for Pullback · Bull,2/5 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,−20.3% → pattern M · below value,20.3,Bull,—,4,6.5,53.5,40.0,16.9,2,62.1,7/8,None,—,0,STRONG 4/5,,4/7,C FAIR,Technology,1950.0,1935.0,0.8,-3.5,61.0,46%,1950.0,1890.0,3.1,2094.1,0.6,0.58R · S/R·D,LEADING,Discovery,At Value,
CASTROLIND,★,51.4,Buy Trigger Live · Recovery,4/5 · no vol · ↑M · ⚠unval · RRG·,STRONG BULL (+11) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Recovery-Early,,False,,AT pattern D,0.0,Recovery,—,5,10.0,78.5,50.0,-1.5,2,51.0,4/8,None,—,3,,6/6 FULL,5/7,C FAIR,Energy,189.5,189.0,0.2,-10.1,17.4,74%,189.5,185.1,2.3,206.0,0.3,0.33R · lastPH,LAGGING,Rigorous,Rec Early,
TVSMOTOR,,50.9,Wait for Pullback · Bull,3/5 · no PA · PB,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,Pullback,"HELD 22 @ 4,394.5  ·  pyramid says EXIT",False,,pivot only ✗ · thin R:R / below EMA20 / below value,5.2,Bull,—,4,8.5,54.5,15.0,6.7,2,50.6,7/8,None,—,0,STRONG 4/5,,4/7,B GOOD,Consumer Cyclical,4133.2,4132.0,0.0,-7.8,48.6,63%,4133.2,3935.0,4.8,4432.0,1.7,1.70R · S/R·D,LEADING,Discovery,At Value,
JSL,★,50.9,Invalidated · Recovery,⛔ Stage 3 · gates 4/5 · ↑W · ⚠unval,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,REACTING off pivot,4.5,Recovery,—,1,10.0,60.0,50.0,-3.7,3,55.4,2/8,None,✓,6,,6/6 FULL,5/7,F POOR,Basic Materials,738.8,736.8,0.3,-16.4,24.1,37%,738.8,707.7,4.2,862.2,0.1,0.09R · lastPH,IMPROVING,Rigorous,"Rec RS, Rec Early",
TITAN,,50.6,Wait for Pullback · Bull,2/5 · no PA,BULL (+6) · S5 — Stage 2 Continuation > VAH,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,−12.3% → pattern D · thin R:R / below EMA20 / below value,12.3,Bull,—,4,8.5,61.0,15.0,6.3,2,56.8,8/8,None,—,0,STRONG 5/5,,3/7,B GOOD,Consumer Cyclical,4987.0,4995.0,-0.2,-3.9,82.6,65%,4987.0,4842.4,2.9,5227.4,1.1,1.15R · S/R·D,LEADING,Discovery,At Value,
AUBANK,,50.2,Buy Trigger Live · Bull,3/5 · no loc,BULL (+4) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,"HELD 69 @ 1,085.9",False,,⚠ −6.5% → pattern D · thin R:R / below EMA20,6.5,Bull,—,5,6.5,49.5,15.0,2.6,2,62.8,8/8,None,—,2,STRONG 5/5,,,C FAIR,Financial Services,1073.7,1053.0,2.0,-6.2,27.9,64%,1073.7,1017.7,5.2,1140.9,0.1,0.10R · S/R·D,LEADING,Discovery,At Value,
JSWDULUX,★,50.0,Armed Wait · Recovery,3/5 · no PA · ↑M · ⚠unval · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Recovery-Early,,False,,REACTING off pivot,,Recovery,—,5,10.0,85.0,80.0,-0.9,2,51.5,3/8,None,—,0,,6/6 FULL,4/7,C FAIR,,3174.4,3186.8,-0.4,-15.2,37.8,75%,3174.4,3069.3,3.3,3533.0,0.1,0.10R · lastPH,LAGGING,Rigorous,Rec Early,
KPRMILL,★,48.7,Wait for Pullback · Bull,⛔ funda,NEUTRAL (+3) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,,False,,−14.8% → pattern W · below EMA20 / below value,14.8,Bull,—,2,7.0,73.5,25.0,8.4,2,61.2,8/8,SWG-PB,—,0,OK 3/5,,4/7,C FAIR,Consumer Cyclical,1135.0,1154.7,-1.7,-14.9,59.9,55%,1135.0,1108.8,2.3,1209.6,0.3,0.26R · S/R·D,WEAKENING,Rigorous,Pullback,
BAJFINANCE,,47.2,Buy Trigger Live · Bull,4/5 · weak bar · PB · ↑M,BULL (+7) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),"Pullback, Armed","HELD 93 @ 1,075.7",True,"12d · trg 1,079.90 · re",⚠ AT pattern M · below EMA20 / below value,0.0,Bull,—,5,6.5,46.0,0.0,7.1,2,60.2,6/8,None,—,1,STRONG 5/5,,,D WEAK,Financial Services,1054.1,1060.0,-0.6,-10.4,35.6,68%,1054.1,1037.9,1.5,1116.0,1.4,1.41R · SZ·D,LEADING,Rigorous,"At Value, Armed",
ADANIPOWER,★,47.1,Wait for Pullback · Recovery,2/5 · no PA · ⚠unval · RRG·,NEUTRAL (+0) · NONE,CLEAN (0),✗ IN VA (lower),"Recovery-Early, Rec-Catalyst-Scan",,False,,−28.4% → pattern D · thin R:R,28.4,Recovery,—,4,7.8,63.0,35.0,3.8,2,57.4,7/8,SWG-PB,—,0,,6/6 FULL,4/7,D WEAK,Utilities,208.4,204.5,1.9,-18.0,34.6,38%,208.4,196.0,5.9,207.4,0.2,0.24R · SZ band top,WEAKENING,Rigorous,"Rec Early, Recovery Catalyst",
SARDAEN,★,46.6,Buy Trigger Live · Recovery,3/5 · no loc · ⚠role · ⚠unval,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,pivot only ✗,26.4,Recovery,—,5,8.8,63.0,50.0,-6.2,1,52.1,3/8,None,—,5,,6/6 FULL,5/7,D WEAK,Basic Materials,519.9,512.5,1.4,-18.7,21.8,19%,519.9,491.1,5.5,615.8,0.1,0.07R · SZ band top,LAGGING,Rigorous,"Rec RS, Rec Early",
PHARMABEES,,46.0,Wait for Pullback · Bull,2/5 · no PA · F? · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,ETF,"HELD 7,326 @ 27.3  ·  pyramid says REDUCE",False,,no pattern zone · below value,,Bull,—,4,5.0,41.0,40.0,5.1,2,64.2,7/8,SWG-PB,—,0,ETF  ·  ₹12.6Cr  ·  NAV -0.3%,,,,,27.6,27.7,-0.4,-3.0,,57%,27.6,27.0,1.9,29.0,0.7,0.71R · SZ band top,WEAKENING,Rigorous,ETF,
GABRIEL,,44.6,Wait for Pullback · Bull,2/5 · no PA · RRG·,BULL (+4) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,,False,,−8.2% → pattern D · below EMA20 / below value,8.2,Bull,—,4,6.5,53.5,25.0,18.7,2,59.6,8/8,None,—,0,STRONG 4/5,,3/7,C FAIR,Consumer Cyclical,1389.6,1363.5,1.9,-13.2,86.4,42%,1389.6,1316.8,5.2,1563.7,0.4,0.43R · SZ·D,LEADING,Discovery,At Value,
GLAXO,,44.5,ADD ready · Bull,⛔ funda,BULL (+4) · NONE,CLEAN (0),✗ IN VA (lower),Pyramid,"29 @ 2629.2 = ₹84,918 · SL→2697.8 · add 29 (capped ≤100% of 29)",False,,AT pivot+conf · below value,7.7,Bull,—,2,6.0,48.0,30.0,5.7,2,50.0,8/8,None,—,0,OK 2/5,,4/7,C FAIR,Healthcare,2928.2,2957.8,-1.0,-6.2,46.2,45%,2928.2,2851.2,2.6,3185.6,0.9,0.88R · Pv·D  (1.90R to S/R·D),LEADING,Rigorous,Portfolio,
USHAMART,,44.3,Wait for Pullback · Bull,3/5 · no PA · PB · ↑W · RRG·,NEUTRAL (-2) · NONE,CLEAN (1),✗ IN VA (lower),Pullback,,False,,REACTING off pattern M · below EMA20 / below value,0.0,Bull,—,4,8.0,56.0,20.0,4.5,2,63.7,7/8,None,—,0,STRONG 4/5,,5/7,C FAIR,Basic Materials,499.9,500.3,-0.1,-5.6,36.4,57%,499.9,492.1,1.6,542.1,0.7,0.68R · S/R·D,WEAKENING,Discovery,At Value,
CLEAN,,43.5,Armed Wait · Recovery,⛔ Stage 3 · gates 1/5 · ⚠unval,BULL (+7) · NONE,CLEAN (1),✓ IN VA (upper),Rec-Catalyst-Scan,,False,,pivot only ✗,2.4,Recovery,—,5,10.0,84.1,50.0,-0.5,3,47.5,2/8,None,—,0,,6/6 FULL,5/7,C FAIR,Basic Materials,830.2,844.4,-1.7,-31.8,35.4,50%,830.2,810.3,2.4,935.8,0.4,0.43R · S/R·D,IMPROVING,Discovery,Recovery Catalyst,
ACUTAAS,,43.1,Armed Wait · Bull,4/5 · no PA · PB · ↑W · RRG·,BULL (+4) · NONE,CLEAN (0),✗ IN VA (lower),Pullback,,False,,AT pattern W,0.0,Bull,—,5,8.5,61.0,15.0,13.5,2,65.6,7/8,None,—,0,STRONG 5/5,,3/7,B GOOD,Basic Materials,3245.0,3182.1,2.0,-13.2,66.8,57%,3245.0,3088.8,4.8,3579.9,0.1,0.08R · Pv·D  (0.66R to S/R·D),WEAKENING,Discovery,At Value,
ASTRAL,,42.1,Invalidated · Bull,2/5 · no PA,NEUTRAL (+3) · NONE,CLEAN (1),✗ IN VA (lower),Catalyst-Scan,,False,,pivot only ✗ · thin R:R / below EMA20,,Bull,—,1,6.5,3.0,15.0,-6.7,1,48.2,4/8,SWG-PB,—,0,STRONG 4/5,,5/7,D WEAK,Industrials,1500.8,1498.2,0.2,-15.1,59.8,59%,1500.8,1451.4,3.3,1566.8,0.3,0.27R · S/R·D,LAGGING,Discovery,Bull Catalyst,
SMALLCAP,,41.8,Wait for Pullback · Bull,1/5 · no PA · F? · RRG·,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,ETF,,False,,−9.4% → pattern D · thin R:R / below value,9.4,Bull,—,4,5.0,41.0,50.0,4.3,2,56.7,8/8,None,—,0,ETF  ·  ₹7.6Cr  ·  NAV -0.4%,,,,,49.3,49.5,-0.3,-9.5,,75%,49.3,47.5,3.6,51.5,0.0,0.02R · S/R·W,WEAKENING,Rigorous,ETF,
METALIETF,,41.7,Buy Trigger Live · Bull,5/5 GO · PB · F? · ⚠role · ↑W · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,ETF,,False,,REACTING off pivot,,Bull,—,5,5.0,42.5,30.0,0.0,2,66.7,8/8,None,—,2,ETF  ·  ₹9.5Cr  ·  NAV +1.7% ·,,,,,13.5,13.2,1.7,-4.9,,58%,13.5,13.0,3.4,14.8,0.2,0.24R · lastPH,WEAKENING,Rigorous,ETF,
ALPHA,,41.4,Buy Trigger Live · Bull,4/5 · no loc · F? · PB · RRG·,BULL (+6) · NONE,CLEAN (0),✓ IN VA (upper),ETF,,False,,⚠ pivot only ✗ · thin R:R,8.2,Bull,—,5,5.0,42.5,30.0,3.2,2,60.3,7/8,SWG-PB,—,1,ETF  ·  ₹4.6Cr  ·  NAV +0.0%,,,,,54.3,54.1,0.3,-2.4,,48%,54.3,52.8,2.7,56.8,0.0,0.02R · SZ·W,WEAKENING,Rigorous,ETF,
