Symbol,Overall_Rating,Overall_Grade,Minervini_Score,Piotroski_Score,ROE,P/E,D/E
PETRONET.NS,9,B GOOD,6,7,17.6%,10.3,0.11
PFIZER.NS,9,B GOOD,6,7,17.2%,28.8,0.02
POONAWALLA.NS,9,B GOOD,4,3,5.2%,56.3,4.68
SAIL.NS,9,B GOOD,5,8,4.6%,22.8,0.53
UNITDSPR.NS,9,B GOOD,7,5,19.1%,51.8,0.05
SONACOMS.NS,9,B GOOD,6,4,10.4%,57.9,0.07
GLENMARK.NS,9,B GOOD,5,8,13.0%,45.7,0.06
HEG.NS,9,B GOOD,5,7,7.6%,26.3,0.13
GODREJIND.NS,9,B GOOD,5,2,5.4%,27.7,2.22
GLAXO.NS,9,B GOOD,5,6,45.7%,36.1,0.01
CAPLIPOINT.NS,9,B GOOD,5,5,17.7%,26.1,0.00
ASIANPAINT.NS,9,B GOOD,7,7,19.6%,59.3,0.18
BANDHANBNK.NS,9,B GOOD,5,2,4.8%,27.0,0.56
ANGELONE.NS,9,B GOOD,5,3,14.9%,33.5,1.29
CAMS.NS,9,B GOOD,5,6,36.0%,39.1,0.05
CHENNPETRO.NS,9,B GOOD,5,7,27.9%,5.8,0.18
VBL.NS,8,C FAIR,6,6,16.1%,55.8,0.13
ZYDUSLIFE.NS,8,C FAIR,5,4,17.0%,22.1,0.42
TECHM.NS,8,C FAIR,6,7,16.0%,27.3,0.07
RRKABEL.NS,8,C FAIR,8,5,19.1%,49.2,0.13
SUNTV.NS,8,C FAIR,3,5,11.4%,14.0,0.01
SUPREMEIND.NS,8,C FAIR,7,5,15.5%,46.7,0.01
SCHAEFFLER.NS,8,C FAIR,6,7,20.1%,52.9,0.01
SPLPETRO.NS,8,C FAIR,6,6,13.8%,38.7,0.06
SAREGAMA.NS,8,C FAIR,5,4,12.2%,42.3,0.04
POWERINDIA.NS,8,C FAIR,7,7,19.1%,157.2,0.02
HOMEFIRST.NS,8,C FAIR,3,5,12.4%,20.9,2.43
HDFCAMC.NS,8,C FAIR,4,4,31.0%,37.0,N/A
