Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
Pricol Ltd,540293,PRICOLLTD,INE726V01018,Auto Components,Auto Components & Equipments,759.00,267.93,281.26,12.31,0.30,1.20,11.21,621.46,719.03
Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1519.75,195.20,80.28,34.27,0.07,2.48,19.31,1058.07,1270.96
Raghav Product.,539837,RPEL,INE912T01018,Industrial Products,Electrodes & Refractories,1691.50,62.69,37.00,118.00,0.02,4.28,20.64,1065.54,1445.61
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1861.15,288.22,205.05,10.09,0.24,2.01,13.06,1154.78,1594.08
Sai Life,544306,SAILIFE,INE570L01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1640.50,361.75,509.13,15.24,0.12,1.64,10.52,1141.36,1385.63
Senores Pharma.,544319,SENORES,INE0RB801010,Pharmaceuticals & Biotechnology,Pharmaceuticals,1510.00,130.82,62.05,7.34,0.37,1.92,8.59,1090.96,1394.58
Shaily Engineer.,501423,SHAILY,INE151G01028,Consumer Durables,Plastic Products - Consumer,3405.70,177.82,216.35,16.40,0.27,1.11,16.62,2631.51,3125.64
Shanthi Gears,522034,SHANTIGEAR,INE631A01022,Industrial Manufacturing,Industrial Products,702.75,63.82,70.10,828.55,0.00,3.11,15.11,463.18,471.93
Shivalik Bimetal,513097,SBCL,INE386D01027,Industrial Products,Iron & Steel Products,1105.30,106.09,54.89,29.38,0.15,3.47,16.92,685.02,913.15
Shreeji Ship. Gl,544490,SHREEJISPG,INE1B6101010,Transport Services,Shipping,695.00,159.78,190.99,12.87,0.36,2.03,15.43,467.82,608.73
SKF India Indus.,544572,SKFINDUS,INE2J8701016,Industrial Products,Abrasives & Bearings,2952.00,207.73,163.83,617.98,0.00,1.75,16.19,2588.95,2768.00
Skipper,538562,SKIPPER,INE439E01022,Electrical Equipment,Heavy Electrical Equipment,603.95,219.14,277.38,2.43,0.63,1.30,5.48,491.45,540.68
SML Mahindra,505192,SMLMAH,INE294B01019,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,6325.00,156.41,156.19,12.40,0.56,1.25,11.84,4149.61,4965.52
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,22470.95,2050.39,620.87,19.92,0.24,2.06,19.14,16587.36,19295.44
Steel Str. Wheel,513262,SSWL,INE802C01033,Auto Components,Auto Components & Equipments,373.10,223.67,331.16,3.38,0.48,1.09,5.58,245.62,296.49
Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,1189.00,634.42,702.52,5.09,0.57,1.25,9.18,983.70,1032.71
Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,1345.35,183.61,69.55,30.98,0.17,3.09,18.43,821.13,1026.09
Sundram Fasten.,500403,SUNDRMFAST,INE387A01021,Auto Components,Auto Components & Equipments,1260.00,613.60,837.04,22.84,0.15,2.12,10.56,972.99,1093.47
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,1642.50,401.58,289.57,12.22,0.14,1.49,7.03,1108.30,1404.21
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,3567.65,67.64,43.40,24.64,0.25,1.77,14.70,2421.15,2944.80
TD Power Systems,533553,TDPOWERSYS,INE419M01035,Electrical Equipment,Heavy Electrical Equipment,769.95,274.99,129.07,225.94,0.02,1.95,14.74,530.32,671.37
Technocraf.Inds.,532804,TIIL,INE545H01011,Industrial Products,Iron & Steel Products,3143.55,348.49,243.48,8.82,0.41,2.05,9.39,2605.12,2917.02
Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",607.80,85.79,90.99,23.82,0.95,1.81,26.89,431.81,566.99
Volt.Transform.,532757,VOLTAMP,INE540H01012,Electrical Equipment,Heavy Electrical Equipment,11341.40,317.05,139.71,264.56,0.00,4.01,15.45,9381.45,10267.07
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,2598.50,2319.21,3204.28,15.90,0.26,1.23,9.10,1378.37,1962.61
Welspun Enterp,532553,WELENT,INE625G01013,Construction,Civil Construction,788.20,347.97,112.19,3.68,0.65,1.26,6.40,554.20,629.42
