Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Loc,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,RRGeng,Tier,Sources,Stale
APOLLOHOSP,★,57.5,Buy Trigger Live · Bull,4/4 GO,NEUTRAL (+2) · NONE,CLEAN (1),✓ ABOVE VAH,Pullback,,,Bull,—,5,6.5,67.5,30.0,3.9,2,60.5,8/8,None,—,2,OK 3/5,,6/9,C FAIR ⚠,Healthcare,8979.5,8903.0,0.9,-1.2,86.2,1.6L,8903.5,8771.9,1.5,9467.1,4.3,LEADING,Rigorous,Pullback,
IKS,,57.4,Invalidated · Bull,2/4 · no PA,NEUTRAL (-1) · NONE,CLEAN (0),✓ ABOVE VAH,Catalyst-Scan,,below EMA20 / below value,Bull,—,1,6.5,57.0,15.0,7.4,3,61.2,8/8,SWG-PB,—,0,STRONG 5/5,,4/9,B GOOD ⚠,Healthcare,1796.4,1819.6,-1.3,-6.0,54.2,47K,1817.0,1789.4,1.5,1985.3,6.1,LEADING,Discovery,Bull Catalyst,
COFORGE,★,56.6,Invalidated · Recovery,1/4 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,"Recovery-RS, Recovery-Early",,extended / thin R:R,Recovery,—,1,9.5,65.0,60.0,7.3,4,62.3,5/8,None,—,0,,6/6 FULL,3/9,D WEAK ⚠,Technology,1757.4,1686.0,4.2,-14.2,57.5,81.4L,1707.0,1556.5,8.8,1989.7,1.9,LEADING,Rigorous,"Rec RS, Rec Early",
NIVABUPA,,55.6,Wait for Pullback · Bull,2/4 · no PA,NEUTRAL (+0) · NONE,CLEAN (0),✓ IN VA (upper),Catalyst-Scan,,below value,Bull,—,4,8.0,37.0,30.0,1.4,2,60.6,7/8,SWG-PB,—,0,OK 2/5,,5/9,C FAIR ⚠,Financial Services,86.7,86.6,0.1,-5.7,123.0,13.4L,86.0,84.2,2.2,92.4,3.4,WEAKENING,Discovery,Bull Catalyst,
NAM-INDIA,★,55.3,Wait for Pullback · Bull,1/4 · no PA,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),Pullback,,below EMA20 / below value,Bull,—,4,9.0,82.5,30.0,3.5,2,54.7,8/8,None,—,0,STRONG 5/5,,3/9,B GOOD ⚠,Financial Services,1147.3,1150.3,-0.3,-5.5,45.8,8.6L,1165.3,1107.8,4.9,1331.2,2.9,WEAKENING,Rigorous,Pullback,
BHEL,,55.1,Wait for Pullback · Bull,1/4 · no PA,NEUTRAL (-2) · NONE,CLEAN (1),✓ ABOVE VAH,Catalyst-Scan,,below EMA20 / below value,Bull,—,4,5.0,47.0,15.0,0.8,2,69.0,8/8,SWG-PB,—,0,STRONG 4/5,,5/9,C FAIR ⚠,Industrials,402.9,405.8,-0.7,-9.5,58.0,1.0Cr,404.0,397.0,1.7,446.9,6.1,WEAKENING,Discovery,Bull Catalyst,
SIEMENS,,54.7,Wait for Pullback · Bull,1/4 · no PA,NEUTRAL (-3) · NONE,CLEAN (1),✓ IN VA (upper),Catalyst-Scan,,below value,Bull,—,4,5.0,38.5,60.0,-3.7,2,61.3,5/8,SWG-PB,—,0,OK 3/5,,3/9,C FAIR ⚠,Industrials,3636.1,3681.0,-1.2,-7.3,49.8,2.3L,3650.7,3571.9,2.2,3940.9,3.7,LAGGING,Discovery,Bull Catalyst,
ANTHEM,★,54.5,Wait for Pullback · Bull,3/4 · no PA,STRONG BULL (+10) · S1 — OB Retest + VP Support,CLEAN (0),✓ IN VA (upper),Pullback,,thin R:R,Bull,—,4,6.5,63.5,50.0,-1.4,2,63.9,6/8,None,✓,0,OK 2/5,,4/9,D WEAK ⚠,Healthcare,797.0,783.9,1.7,-9.6,69.6,2.8L,790.0,739.6,6.4,887.5,1.9,LAGGING,Rigorous,Pullback,
HAL,,54.4,Wait for Pullback · Bull,2/4 · no PA,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,below value,Bull,—,4,6.5,53.5,50.0,1.3,1,61.0,6/8,None,—,0,OK 2/5,,5/9,C FAIR,Industrials,4556.1,4600.1,-1.0,-8.0,33.5,4.9L,4580.0,4469.9,2.4,4992.7,3.7,WEAKENING,Rigorous,Pullback,
ACE,★,53.4,Invalidated · Recovery,3/4 · no vol,NEUTRAL (-2) · NONE,CLEAN (0),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,thin R:R,Recovery,—,1,10.0,71.0,50.0,5.9,3,59.3,6/8,None,—,1,,6/6 FULL,3/9,D WEAK ⚠,Industrials,1041.7,1077.6,-3.3,-10.0,27.6,3.7L,1053.0,1040.5,1.2,1170.0,9.4,LEADING,Rigorous,"Rec RS, Rec Early",
