Symbol,★,Overall,Category,S4-GO,WCL Context,Struct Health,VP Position,Archetype,Pos,Arm,Armed,Loc,→Zone,Path,RRG,Step,Conviction,Combined,Alpha,RS,Stage,MLProb%,Minervini,Catalyst,VCP,ΣPA,BFF,RFF,Piotroski,XRay,Sector,CMP,PrevClose,Chg%,52WH%,P/E,Deliv%/Vol,Entry,SL,SL%,T1,R:R,Room,RRGeng,Tier,Sources,Stale
RADICO,,51.4,Wait for Pullback · Bull,4/5 · weak bar · PA 3b · PB · ↑D · RRG·,NEUTRAL (+2) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pattern M · below EMA20 / below value,0.0,Bull,—,4,8.5,62.0,15.0,19.3,2,52.0,8/8,None,—,0,STRONG 5/5,,6/7,B GOOD,Consumer Defensive,4415.0,4444.0,-0.7,-5.5,84.6,60%,4485.0,4370.2,2.6,4773.8,0.7,0.65R · lastPH,LEADING,Discovery,At Value,
ADANIPOWER,★,50.4,Wait for Pullback · Recovery,3/5 · no loc · PA 1b · ⚠unval · RRG·,NEUTRAL (+2) · NONE,CLEAN (0),✗ IN VA (lower),"Recovery-Early, Rec-Catalyst-Scan",,False,,−28.4% → pattern D · thin R:R,28.4,Recovery,—,4,7.8,63.0,35.0,3.8,2,57.4,8/8,SWG-PB,—,0,,6/6 FULL,4/7,D WEAK,Utilities,214.0,204.5,4.7,-18.0,34.6,38%,208.4,196.0,5.9,207.4,0.6,0.55R · S/R·D,WEAKENING,Rigorous,"Rec Early, Recovery Catalyst",
SARDAEN,★,49.3,Armed Wait · Recovery,3/5 · no loc · PA 1b · ⚠unval,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (1),✓ IN VA (upper),"Recovery-RS, Recovery-Early",,False,,pivot only ✗,4.7,Recovery,—,5,8.8,63.0,50.0,-6.2,1,52.1,4/8,None,—,0,,6/6 FULL,5/7,D WEAK,Basic Materials,547.5,512.5,6.8,-18.7,21.8,19%,519.9,491.1,5.5,615.8,1.3,1.32R · S/R·W,LAGGING,Rigorous,"Rec RS, Rec Early",
COFORGE,,48.5,Wait for Pullback · Bull,4/5 · weak bar · PA 2b · PB,BULL (+6) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,REACTING off pattern M · below EMA20 / below value,0.0,Bull,—,4,6.5,53.5,40.0,16.9,2,62.1,7/8,None,—,0,STRONG 4/5,,4/7,C FAIR,Technology,1847.9,1935.0,-4.5,-3.5,61.0,46%,1950.0,1890.0,3.1,2094.1,-1.5,-1.53R · S/R·D,LEADING,Discovery,At Value,
TVSMOTOR,,48.1,Wait for Pullback · Bull,4/5 · no funda · PA 1b · PB · ↑D,NEUTRAL (+0) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,"HELD 22 @ 4,394.5  ·  pyramid says EXIT",False,,REACTING off pattern D · thin R:R / below EMA20 / below value,0.0,Bull,—,4,8.5,54.5,15.0,6.7,2,50.6,7/8,None,—,0,STRONG 4/5,,4/7,B GOOD,Consumer Cyclical,4162.0,4132.0,0.7,-7.8,48.6,63%,4133.2,3935.0,4.8,4432.0,1.7,1.70R · S/R·D,LEADING,Discovery,At Value,
TITAN,,48.1,Wait for Pullback · Bull,4/5 · weak bar · PA 1b · PB,NEUTRAL (-2) · NONE,CLEAN (1),✓ ABOVE VAH,Pullback,,False,,AT pivot+conf · thin R:R / below EMA20 / below value,12.3,Bull,—,4,8.5,61.0,15.0,6.3,2,56.8,8/8,None,—,0,STRONG 5/5,,3/7,B GOOD,Consumer Cyclical,4985.5,4995.0,-0.2,-3.9,82.6,65%,4987.0,4842.4,2.9,5227.4,1.1,1.15R · S/R·D,LEADING,Discovery,At Value,
ACUTAAS,,47.7,Buy Trigger Live · Bull,5/5 GO · PB · ⚠role · ↑W · RRG·,NEUTRAL (+3) · S1 — OB Retest + VP Support,CLEAN (1),✗ IN VA (lower),Pullback,,False,,AT pattern W,0.0,Bull,—,5,8.5,61.0,15.0,13.5,2,65.6,7/8,None,—,4,STRONG 5/5,,3/7,B GOOD,Basic Materials,3245.0,3182.1,2.0,-13.2,66.8,57%,3245.0,3088.8,4.8,3579.9,0.1,0.08R · Pv·D  (0.66R to S/R·D),WEAKENING,Discovery,At Value,
CHOLAFIN,,46.1,Wait for Pullback · Bull,4/5 · weak bar · PA 1b · PB · ↑W · RRG·,NEUTRAL (+0) · NONE,CLEAN (0),✓ ABOVE VAH,Pullback,,False,,AT pattern W · below EMA20 / below value,0.0,Bull,—,4,6.5,51.5,0.0,7.1,2,65.0,6/8,None,✓,0,STRONG 5/5,,,D WEAK,Financial Services,1827.5,1848.2,-1.1,-6.6,27.2,69%,1823.4,1772.0,2.8,1956.5,0.7,0.71R · lastPH,LEADING,Discovery,At Value,
PHARMABEES,,46.0,Wait for Pullback · Bull,2/5 · no PA · F? · RRG·,STRONG BULL (+9) · S1 — OB Retest + VP Support,CLEAN (0),✓ ABOVE VAH,ETF,"HELD 7,326 @ 27.3  ·  pyramid says REDUCE",False,,no pattern zone · below value,,Bull,—,4,5.0,41.0,40.0,5.1,2,64.2,7/8,SWG-PB,—,0,ETF  ·  ₹12.6Cr  ·  NAV -0.3%,,,,,27.6,27.7,-0.4,-3.0,,57%,27.6,27.0,1.9,29.0,0.7,0.71R · SZ band top,WEAKENING,Rigorous,ETF,
AUBANK,,45.8,Wait for Pullback · Bull,4/5 · weak bar · PA 3b · PB,NEUTRAL (-2) · NONE,CLEAN (1),✓ IN VA (upper),Pullback,"HELD 69 @ 1,085.9",False,,AT pivot+conf · thin R:R / below EMA20 / below value,6.5,Bull,—,4,6.5,49.5,15.0,2.6,2,62.8,8/8,None,—,0,STRONG 5/5,,,C FAIR,Financial Services,1061.6,1053.0,0.8,-6.2,27.9,64%,1073.7,1017.7,5.2,1140.9,0.1,0.10R · S/R·D,LEADING,Discovery,At Value,
