Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1954.00,1090.53,1623.50,9.91,0.48,1.33,9.03,105577.01,29.10,125.49
LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1696.90,1824.69,1721.25,61.30,0.06,2.08,13.38,115180.89,15.49,27.20
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1144.70,4128.70,959.30,8.62,0.42,1.73,6.22,114393.89,43.10,103.36
Lohia Corp,544839,LCL,INE0QJW01029,Industrial Manufacturing,Industrial Products,538.60,193.45,325.16,19.57,0.34,1.06,17.48,5690.31,59.51,295.78
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1966.90,264.23,259.37,10.31,0.51,2.00,21.30,12415.54,39.51,61.31
Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products,Edible Oil,803.90,1952.00,2084.00,38.67,0.13,0.95,19.79,104522.15,22.85,25.00
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,320.15,521.27,458.13,28.54,0.11,5.17,11.80,14508.04,35.62,169.50
Molbio Diagnosti,544866,MOLBIO,INE869T01028,Healthcare Equipment & Supplies,Medical Equipment & Supplies,1288.30,164.14,50.39,7.93,0.38,2.48,9.21,14846.37,309.57,347.79
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,724.05,234.31,-27.79,,0.16,1.49,10.58,5097.31,21.71,37.51
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,3260.00,1541.80,3034.72,4255.46,0.00,0.87,22.51,83127.34,88.10,103.47
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,350.50,6750.67,6437.97,90.07,0.00,3.51,23.46,64373.94,39.28,90.87
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,8590.00,789.70,893.57,9.72,0.32,1.46,11.56,44079.25,44.07,107.67
Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1372.40,3860.49,5047.56,33.02,0.08,0.96,26.86,264641.86,25.16,48.61
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4664.50,260.65,789.92,15.86,0.39,1.44,13.05,27729.31,172.13,179.92
Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,22840.00,497.76,346.68,26.41,0.16,2.09,14.13,29303.47,119.16,962.37
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1155.00,1636.96,1466.02,313.05,0.02,1.54,31.01,73914.17,26.42,27.16
Oracle Fin.Serv.,532466,OFSS,INE881D01027,IT - Software,Software Products,11896.00,3412.90,2638.30,629.45,0.00,5.44,26.47,103594.09,68.73,120.52
P N Gadgil Jewe.,544256,PNGJL,INE953R01016,Consumer Durables,"Gems, Jewellery And Watches",604.75,445.82,-716.90,6.66,0.89,1.53,10.17,8902.08,40.73,51.92
Park Medi World,544645,PARKHOSPS,INE119201023,Healthcare Services,Hospital,282.05,296.75,329.09,8.10,0.18,2.06,11.11,12182.61,19.27,42.31
Pearl Global Ind,532808,PGIL,INE940H01022,Textiles & Apparels,Garments & Apparels,1146.10,303.72,398.34,4.48,0.65,1.60,9.15,10587.80,24.46,50.93
Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals,Specialty Chemicals,1572.10,2676.10,2828.45,67.83,0.04,1.29,16.91,160020.87,21.27,28.18
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,8400.00,2905.40,3810.67,15.24,0.02,1.41,14.91,126580.93,39.01,32.46
Power Mech Proj.,539302,POWERMECH,INE211R01019,Construction,Civil Construction,2371.40,420.47,387.45,5.86,0.26,1.71,7.98,7497.49,25.53,51.90
Powerica Ltd,544744,POWERICA,INE921L01032,Electrical Equipment,Heavy Electrical Equipment,576.30,291.15,452.88,15.23,0.29,1.61,8.41,7293.18,26.66,28.14
Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",478.40,174.63,272.96,4.33,0.38,1.21,8.78,8745.53,59.49,71.47
Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment,Other Electrical Equipment,902.00,1673.82,1261.06,14.25,0.86,1.71,16.53,40946.43,35.25,50.45
Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3444.90,342.01,550.09,7.29,0.72,1.41,10.62,13456.71,19.22,35.98
Prudent Corp.,543527,PRUDENT,INE00F201020,Capital Markets,Financial Products Distributor,3501.60,245.04,216.54,58.24,0.04,1.25,20.49,14498.96,18.34,44.38
Quality Power El,544367,QPOWER,INE0SII01026,Electrical Equipment,Heavy Electrical Equipment,1536.10,195.20,80.28,34.27,0.07,2.48,19.31,11896.19,31.66,49.59
