Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,Return on equity,Return on capital employed
Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,505.95,1150.93,1734.85,7.24,0.36,2.96,9.61,17828.73,15.08,16.87
SBI Funds Mgt.,544829,SBIFUNDS,INE640G01020,Capital Markets,Asset Management Company,561.35,3067.38,2487.60,441.76,0.00,0.92,40.38,114337.32,43.02,56.50
Seshaasai Tech.,544533,STYL,INE04VU01023,Financial Technology (Fintech),Financial Technology (Fintech),360.35,268.80,225.19,25.18,0.06,5.89,17.22,5830.67,23.57,27.98
Shaily Engineer.,501423,SHAILY,INE151G01028,Consumer Durables,Plastic Products - Consumer,3149.80,177.82,216.35,16.40,0.27,1.11,16.62,14487.58,28.16,30.17
Shanthi Gears,522034,SHANTIGEAR,INE631A01022,Industrial Manufacturing,Industrial Products,700.05,63.82,70.10,828.55,0.00,3.11,15.11,5370.49,19.00,25.55
Siemens,500550,SIEMENS,INE003A01024,Electrical Equipment,Heavy Electrical Equipment,3913.90,3276.70,-535.40,65.70,0.02,2.71,12.11,139382.00,19.22,21.44
Siemens Ener.Ind,544390,ENRIN,INE1NPP01017,Electrical Equipment,Heavy Electrical Equipment,3228.00,1488.00,3670.10,68.70,0.04,2.06,23.16,114955.70,50.47,67.75
SKF India Indus.,544572,SKFINDUS,INE2J8701016,Industrial Products,Abrasives & Bearings,2984.20,207.73,163.83,617.98,0.00,1.75,16.19,14753.28,26.65,29.89
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,18555.00,2050.39,620.87,19.92,0.24,2.06,19.14,167904.30,32.64,38.08
Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,1155.00,183.61,69.55,30.98,0.17,3.09,18.43,13045.57,25.17,28.18
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1837.30,12117.01,12419.18,47.01,0.06,1.90,12.44,440829.81,15.95,20.53
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,906.30,198.38,185.77,154.50,0.00,4.40,16.90,7294.16,19.06,25.17
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,722.45,557.06,775.70,20.83,0.24,1.32,7.90,29335.21,16.34,20.90
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,657.70,214.61,196.99,1203.71,0.02,1.57,58.61,8407.48,87.56,118.47
United Spirits,532432,UNITDSPR,INE854D01024,Beverages,Breweries & Distilleries,1371.00,1884.00,1459.00,17.96,0.05,1.81,13.23,99719.80,21.43,26.39
