Category,Name,Based on,Symbol,Expense Ratio %,Asset (Cr.),LTP,60 day average Volume
Thematic Index,Nippon Nifty Cons. ETF (CONSUMBEES),Nifty Consumption,CONSUMBEES,0.0026,194.7,132.1,96895
Strategy Index,Motilal Oswal Nifty 200 Momentum ETF,Nifty 200 Momentum 30,MOMENTUM,0.0128,127.6,31.72,95332
Broad Index,UTI Nifty 50 ETF,Nifty 50,NIFTYBETA,0.0005,73370.6,268.25,94949
Strategy Index,SBI Nifty Midcap 150 Momentum 50 ETF,Nifty Midcap 150 Momentum,SBIMIDMOM,0.0085,128.8,64.98,92804
Thematic Index,Kotak Nifty MNC ETF,Nifty MNC,MNC,0.003,47.0,34.0,77363
Thematic Index,ICICI Pru Nifty Commodities ETF,Nifty Commodities,COMMOIETF,0.0026,127.4,99.67,66819
Global Index,Motilal Oswal Nasdaq Quality 50 ETF,Nasdaq Quality 50,MONQ50,0.006,215.0,146.37,65610
Strategy Index,SBI Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight,SBINEQWETF,0.0034,40.4,33.63,56453
Sectoral Index,Mirae Asset Nifty 500 Healthcare ETF,Nifty 500 Healthcare,HEALTHCARE,0.0014,14.5,21.91,53766
Strategy Index,Nippon Nifty 50 DO ETF (DIVOPPBEES),Nifty Dividend Opportunities 50,DIVOPPBEES,0.0031,71.2,77.32,53022
Strategy Index,Aditya Birla Nifty 200 Quality 30 ETF,Nifty 200 Quality 30,NIFTYQLITY,0.0025,25.2,21.68,49322
Thematic Index,Mirae Asset Nifty India Mfg. ETF,Nifty India Manufacturing,MAKEINDIA,0.0036,269.3,168.55,49146
Sectoral Index,HDFC Nifty Metal ETF,Nifty Metal,HDFCNIMEG,0.0035,128.0,134.24,46908
Debt Index,Motilal Os Nifty 5yr Benchmark GSec ETF,Nifty 5 Year G-Sec,MOGSEC,0.0033,164.1,65.09,39674
Strategy Index,DSP Nifty Midcap 150 Quality 50 ETF,NIFTY Midcap150 Quality 50,MIDQ50ADD,0.0054,100.9,25.62,33266
Debt Index,LIC Nifty 10 Year G-Sec ETF,Nifty 10 Year G-Sec,LICNETFGSC,0.0017,1938.4,29.59,33033
Broad Index,SBI Nifty Next 50 ETF,Nifty Next 50,SETFNN50,0.0016,3071.5,797.75,31730
Thematic Index,Mirae Asset Nifty 100 ESG Sector Leader,Nifty100 ESG Sector Leaders,ESG,0.0035,98.2,41.5,30719
Strategy Index,DSP Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight,EQUAL50ADD,0.0035,1393.6,347.12,29805
Strategy Index,Nippon Nifty 50 Value 20 ETF (NV20BEES),Nifty50 Value 20 Index,NV20BEES,0.0022,143.0,139.6,27255
Broad Index,Nippon India Nifty 100 ETF,Nifty 100,NIF100BEES,0.0043,351.9,267.5,24854
Thematic Index,ICICI Pru Nifty Consumption ETF,Nifty Consumption,CONSUMIETF,0.0017,52.1,123.0,22088
Debt Index,Edelweiss Bharat Bond April 2030 ETF,Nifty BHARAT Bond 2030,EBBETF0430,0.0001,24898.1,1604.5,18895
Broad Index,LIC Nifty Midcap 100 ETF,NIFTY Midcap 100,LICNMID100,0.0016,680.6,64.21,16903
Sectoral Index,DSP Nifty FMCG ETF,NIFTY FMCG,FMCGADD,0.0129,6.2,47.16,10212
Thematic Index,Nippon Nifty Infra ETF (INFRABEES),NIFTY Infra,INFRABEES,0.0043,185.6,959.5,9977
Sectoral Index,Axis Nifty Healthcare ETF,Nifty Healthcare,HEALTHAXIS,0.0044,25.5,170.69,8155
Thematic Index,Nippon India Nifty 50 Shariah ETF,Shariah,SHARIABEES,0.0082,57.8,459.2,7702
Debt Index,ICICI Pru Nifty 10 Year G-Sec ETF,Nifty 10 Year G-Sec,GSEC10IETF,0.0012,603.5,263.52,7301
Debt Index,Edelweiss Bharat Bond April 2031 ETF,Nifty BHARAT Bond 2031,EBBETF0431,0.0001,13307.5,1432.02,7155
Thematic Index,Nippon Nifty India Manufacturing ETF,Nifty India Manufacturing,MANUFGBEES,0.0021,11.7,167.1,5907
Strategy Index,Motilal Oswal Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight,MON50EQUAL,0.0017,158.2,33.7,5577
Debt Index,SBI Nifty 10 Year G-Sec ETF,Nifty 10 Year G-Sec,SETF10GILT,0.0015,3303.8,264.28,5204
Thematic Index,Groww Nifty PSE ETF,Nifty PSE,GROWWPSE,0.0053,17.2,97.8,5183
Strategy Index,SBI Nifty 200 Quality 30 ETF,Nifty 200 Quality 30,SBIETFQLTY,0.0037,81.5,224.13,4157
Debt Index,UTI Nifty 5 Year G-Sec ETF,Nifty 5 Year G-Sec,GILT5BETA,0.0023,26.0,66.5,2700
Debt Index,Edelweiss Bharat Bond April 2032 ETF,Nifty BHARAT Bond 2032,BBETF0432,0.0001,10407.5,1342.01,2697
Broad Index,LIC Nifty 100 ETF,Nifty 100,LICNFNHGP,0.0029,746.7,278.46,369
