Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth,Return on equity,Return on capital employed
KSHINTL,KSH Internationa,544664,KSHINTL,INE987S01020,Industrial Products,Cables - Electricals,1046.95,129.67,-64.97,4.17,0.4,1.86,10.77,7093.68,108.38,86.16,,
KUSUMGAR,Kusumgar,544821,KUSUMGAR,INE0ISX01025,Textiles & Apparels,Other Textile Products,591.2,88.13,35.78,5.61,0.49,1.98,10.23,6207.09,93.59,882.63,,
LAURUSLABS,Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1954.0,1090.53,1623.5,9.91,0.48,1.33,9.03,105577.01,29.1,125.49,,
LGEINDIA,LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1696.9,1824.69,1721.25,61.3,0.06,2.08,13.38,115180.89,15.49,27.2,,
LODHA,Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1144.7,4128.7,959.3,8.62,0.42,1.73,6.22,114393.89,43.1,103.36,,
LCL,Lohia Corp,544839,LCL,INE0QJW01029,Industrial Manufacturing,Industrial Products,538.6,193.45,325.16,19.57,0.34,1.06,17.48,5690.31,59.51,295.78,,
MANORAMA,Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1966.9,264.23,259.37,10.31,0.51,2.0,21.3,12415.54,39.51,61.31,,
MARICO,Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products,Edible Oil,803.9,1952.0,2084.0,38.67,0.13,0.95,19.79,104522.15,22.85,25.0,,
MARKSANS,Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,320.15,521.27,458.13,28.54,0.11,5.17,11.8,14508.04,35.62,169.5,,
MOLBIO,Molbio Diagnosti,544866,MOLBIO,INE869T01028,Healthcare Equipment & Supplies,Medical Equipment & Supplies,1288.3,164.14,50.39,7.93,0.38,2.48,9.21,14846.37,309.57,347.79,,
MSTCLTD,MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,724.05,234.31,-27.79,,0.16,1.49,10.58,5097.31,21.71,37.51,,
MCX,Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,3260.0,1541.8,3034.72,4255.46,0.0,0.87,22.51,83127.34,88.1,103.47,,
NATIONALUM,Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,350.5,6750.67,6437.97,90.07,0.0,3.51,23.46,64373.94,39.28,90.87,,
