Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,DMA 200,DMA 50
Shivalik Bimetal,513097,SBCL,INE386D01027,Industrial Products,Iron & Steel Products,1096.20,106.09,54.89,29.38,0.15,3.47,16.92,715.99,960.76
Shreeji Ship. Gl,544490,SHREEJISPG,INE1B6101010,Transport Services,Shipping,708.05,159.78,190.99,12.87,0.36,2.03,15.43,485.57,633.29
SKF India Indus.,544572,SKFINDUS,INE2J8701016,Industrial Products,Abrasives & Bearings,2984.20,207.73,163.83,617.98,0.00,1.75,16.19,2615.27,2812.76
SML Mahindra,505192,SMLMAH,INE294B01019,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,6292.50,156.41,156.19,12.40,0.56,1.25,11.84,4315.59,5331.71
Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components,Auto Components & Equipments,808.00,746.40,614.59,48.47,0.06,2.84,9.98,637.28,763.54
Spectrum Electr.,544386,SPECTRUM,INE01EO01010,Industrial Manufacturing,Industrial Products,3039.60,50.00,70.79,5.06,0.89,1.36,8.19,1824.30,2363.05
SPR Auto Technologies,544344,SHRIPISTON,INE526E01018,Auto Components,Auto Components & Equipments,4576.60,574.60,625.05,10.05,0.68,1.64,11.65,3667.67,4355.51
Steel Str. Wheel,513262,SSWL,INE802C01033,Auto Components,Auto Components & Equipments,372.40,223.67,331.16,3.38,0.48,1.09,5.58,254.59,314.37
Strides Pharma,532531,STAR,INE939A01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,1219.80,634.42,702.52,5.09,0.57,1.25,9.18,999.75,1076.49
Sundram Fasten.,500403,SUNDRMFAST,INE387A01021,Auto Components,Auto Components & Equipments,1228.20,613.60,837.04,22.84,0.15,2.12,10.56,993.44,1133.15
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,865.70,482.72,246.33,46.66,0.05,1.71,9.39,715.82,746.28
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,906.30,198.38,185.77,154.50,0.00,4.40,16.90,788.34,855.39
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,1728.90,401.58,289.57,12.22,0.14,1.49,7.03,1146.26,1458.59
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,3526.05,67.64,43.40,24.64,0.25,1.66,14.60,2501.64,3088.13
TD Power Systems,533553,TDPOWERSYS,INE419M01035,Electrical Equipment,Heavy Electrical Equipment,763.75,274.99,129.07,225.94,0.02,1.95,14.74,547.18,692.55
Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",714.20,85.79,90.99,23.82,0.95,1.81,26.89,446.94,584.18
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1284.00,1290.54,1720.35,9.71,0.40,1.20,10.24,1168.26,1214.66
Usha Martin,517146,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,507.20,507.54,655.34,42.14,0.07,3.28,11.53,464.05,496.19
Va Tech Wabag,533269,WABAG,INE956G01038,Other Utilities,Water Supply & Management,2132.60,394.20,206.70,8.36,0.09,1.71,6.56,1699.34,2004.32
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,2660.10,2319.21,3204.28,15.90,0.26,1.23,9.10,1470.48,2129.92
Welspun Enterp,532553,WELENT,INE625G01013,Construction,Civil Construction,823.35,347.97,112.19,3.68,0.65,1.26,6.40,571.81,671.57
