Symbol,Name,Asset_Class,Sub_Category,Underlying,Issuer,Liquidity_Tier,Structure_Source,Liquidity_Score,Trend_Score,RS_Score,Rotation_Score,Total_Score,Grade,Stage,RRG_Quadrant,Rotation_Vector,LTP,SMA50,SMA200,MA200_Slope_pct,Above_SMA200,Mansfield_RS,RS_Momentum_4W,Vol_60D_Lakhs,Turnover_60D_Cr,Dist_52WH_pct,Signal
ITBEES,Nippon Nifty IT ETF (ITBEES),SECTOR,SECTOR.NIFTY IT,Nifty IT,Nippon,A,index:NIFTYIT,10,0,2,6,18,C,4,IMPROVING,CHURNING,31.94,33.46,29467.78,-2.09,False,-6.98,0.42,125.03,40.65,-26.17,🔴 AVOID-DOWNTREND
MOM30IETF,ICICI Pru Nifty 200 Momentum 30 ETF,SMART_BETA,SMART_BETA.NIFTY 200 MOMENTUM 30,Nifty 200 Momentum 30,ICICI,C,etf (index NIFTY200MOMENTM30 unavailable),4,7,5,2,18,C,2,LAGGING,BREAKOUT,31.08,31.26,30.84,0.03,True,0.59,1.8,6.36,1.99,-5.1,⚠ ILLIQUID
MIDCAP,Kotak Nifty Midcap 50 ETF,BROAD_EQUITY,BROAD_EQUITY.NIFTY MID CAP 50,Nifty Mid Cap 50,Kotak,D,index:NIFTY MIDCAP 150,2,9,3,3,17,C,2,WEAKENING,FADING,18.29,18.5,22264.46,0.8,True,3.26,-0.72,3.75,0.69,-4.12,⚠ ILLIQUID
PVTBANIETF,ICICI Pru Nifty Private Bank ETF,SECTOR,SECTOR.NIFTY PRIVATE BANK,Nifty Private Bank,ICICI,A,index:NIFTY PVT BANK,8,2,5,2,17,C,3,LAGGING,BREAKOUT,27.7,27.89,27028.87,-0.57,True,0.24,3.0,28.04,7.8,-6.92,⚪ NEUTRAL
SILVERIETF,ICICI Pru Silver ETF,COMMODITY,COMMODITY.SILVER,Silver,ICICI,A,etf,10,1,0,5,16,C,4,IMPROVING,COLLAPSED,233.89,226.68,237.46,-0.77,False,-0.93,-1.23,29.31,65.31,-36.31,🔴 AVOID-DOWNTREND
BANKNIFTY1,Kotak Nifty Bank ETF,SECTOR,SECTOR.NIFTY BANK,Nifty Bank,Kotak,B,index:BANKNIFTY,6,2,2,6,16,C,3,IMPROVING,IGNITE,58.54,59.53,56217.87,-0.79,True,-0.89,0.87,4.1,2.44,-8.44,⚪ NEUTRAL
MAKEINDIA,Mirae Asset Nifty India Mfg. ETF,THEMATIC,THEMATIC.NIFTY INDIA MANUFACTURING,Nifty India Manufacturing,Mirae,D,index:NIFTY INDIA MFG,2,8,3,3,16,C,2,WEAKENING,DECAY,162.62,165.34,15722.44,0.69,True,3.0,-1.77,0.36,0.59,-5.02,⚠ ILLIQUID
NIFTYBEES,Nippon Nifty 50 ETF (NIFTYBEES),BROAD_EQUITY,BROAD_EQUITY.NIFTY 50,Nifty 50,Nippon,A,index:NIFTY,10,0,0,5,15,C,4,IMPROVING,FALLING,266.53,274.42,23894.73,-1.01,False,-3.94,-0.24,53.65,145.34,-11.33,🔴 AVOID-DOWNTREND
PSUBNKBEES,Nippon Nifty PSU Bank ETF (PSUBNKBEES),SECTOR,SECTOR.NIFTY PSU BANK,Nifty PSU Bank,Nippon,A,index:NIFTY PSU BANK,10,0,0,5,15,C,4,IMPROVING,LAGGING,92.65,94.81,8531.91,-0.97,False,-2.37,-1.43,16.88,16.17,-16.37,🔴 AVOID-DOWNTREND
CONSUMBEES,Nippon Nifty Cons. ETF (CONSUMBEES),THEMATIC,THEMATIC.NIFTY CONSUMPTION,Nifty Consumption,Nippon,D,index:NIFTY CONSUMPTION,4,2,1,7,14,C,1,LEADING,COLLAPSED,128.32,131.94,11448.37,-0.05,False,-0.18,-1.25,0.79,1.02,-9.58,⚠ ILLIQUID
