Symbol,Edge_Hint,Signal,Signal_Label,Signal_Date,Score,RFF_Score,RFF_Base,RFF_Bonus,RFF_Total,RFF_Quality,RFF_Checks,Fund_Source,Chartink_Confirmed,RFF_Detail,Weinstein_Stage,Mansfield_RS_x100,RS_Momentum_4W,RRG_Quadrant,RS_Slope_4W,RS_Positive,Stretch_SMA200_pct,Correction_52W_pct,Rel_Vol,RSI14,RSI3,Regime_OK,Mkt_Recovery,Mkt_Corrected,Mkt_Reclaim,Mkt_Corr_Depth_pct,CB_Climax_Date,Entry,SL,T1,T2,RR_T1,T1_pct,SL_pct,Details,Conviction,Combined_Score
TATATECH,REV-RS,0,None,,11,6,6,1,7,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True}",2,11.243,-14.692,WEAKENING,-7.4,True,16.98,11.67,0.37,37.5,33.7,True,False,False,False,4.3,,787.0,764.62,842.95,891.0,2.5,7.11,2.84,No higher-low structure (recent 778.25 <= prior 784.65) | No higher-low structure (recent 778.25 <= prior 784.65) | No climax bar detected,9.5,72.5
JSL,REV-RS,0,None,,9,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",3,0.158,3.258,LEADING,2.24,True,-1.38,16.43,0.86,58.5,54.9,True,False,False,False,4.3,,738.75,689.36,862.22,884.0,2.5,16.71,6.69,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected [Also in Screener.in screens — intersection],10.0,70.5
CASTROLIND,REV-EARLY,0,None,,10,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,1.405,3.89,LEADING,3.56,True,2.14,10.1,0.68,53.0,77.3,True,False,False,False,4.3,,189.46,182.85,205.99,210.75,2.5,8.72,3.49,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected [Also in Screener.in screens — intersection],9.5,70.2
ANANTRAJ,REV-RS,0,None,,12,5,5,3,8,FULL,101111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,13.417,-1.561,WEAKENING,1.45,True,15.23,15.84,0.35,47.6,45.6,True,False,False,False,4.3,,625.85,564.1,743.65,780.23,1.91,18.82,9.87,No higher-low structure (recent 571.35 <= prior 584.60) | No higher-low structure (recent 571.35 <= prior 584.60) | No climax bar detected,8.5,69.8
IIFL,REV-RS,0,None,,9,2,2,3,5,FULL,100010,Screener.in-pool+live+yf,False,"{'NI>0': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,17.491,-3.264,WEAKENING,1.61,True,16.89,10.92,2.65,49.4,29.0,True,False,False,False,4.3,,628.0,601.32,694.7,705.0,2.5,10.62,4.25,No EARLY breakout in last 5 trading days | Strict-trend not confirmed UP (dtrend=0) | No climax bar detected,9.8,69.5
KPRMILL,REV-RS,0,None,,11,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,8.967,0.744,LEADING,4.42,True,14.93,14.92,0.83,51.8,17.5,True,False,False,False,4.3,,1135.0,1058.46,1326.34,1334.0,2.5,16.86,6.74,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,8.8,69.0
CYIENT,REV-RS,0,None,,11,6,6,2,8,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'OpLev↑': True}",3,19.68,24.492,LEADING,27.94,True,12.03,15.44,0.27,74.2,11.2,True,False,False,False,4.3,,1086.3,960.26,1284.7,1401.41,1.57,18.26,11.6,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,8.8,69.0
KIRLOSENG,REV-RS,0,None,,10,5,5,1,6,FULL,110111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True}",2,16.753,5.158,LEADING,10.51,True,37.59,16.44,0.97,64.4,51.4,True,False,False,False,4.3,,2272.8,2003.49,2720.0,2946.07,1.66,19.68,11.85,No EARLY breakout in last 5 trading days | No RS breakout in last 5 trading days | No climax bar detected,9.2,68.7
ABSLAMC,REV-RS,0,None,,9,6,6,0,6,FULL,111111,Screener.in,True,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True}",2,-2.245,3.256,IMPROVING,4.8,False,11.51,13.14,0.89,67.4,51.7,True,False,False,False,4.3,,1064.0,974.9,1224.9,1286.75,1.81,15.12,8.37,RS slope negative | RS slope negative | No climax bar detected [Also in Screener.in screens — intersection],9.5,68.0
NAUKRI,REV-RS,0,None,,11,5,5,3,8,FULL,111110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,16.735,-6.971,WEAKENING,-1.76,True,11.71,9.88,1.0,31.6,0.0,False,False,False,False,4.3,,1292.0,1232.94,1433.6,1439.65,2.4,10.96,4.57,Regime gate failed | Regime gate failed | No climax bar detected,8.5,67.5
NETWEB,REV-RS,0,None,,12,6,6,3,9,FULL,111111,Screener.in-pool+live+yf,False,"{'NI>0': True, 'FCF>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'ROA>5%': True, 'Sales↑': True, 'Profit↑': True, 'OpLev↑': True}",2,15.397,-2.828,WEAKENING,3.75,True,25.47,15.79,1.12,30.0,0.0,True,False,False,False,4.3,,4895.0,4746.16,5267.11,5813.0,2.5,7.6,3.04,No higher-low structure (recent 4881.50 <= prior 5064.00) | No higher-low structure (recent 4881.50 <= prior 5064.00) | No climax bar detected,8.0,67.3
COCHINSHIP,REV-EARLY,0,None,,8,4,4,1,5,FULL,101110,Screener.in-pool+live+yf,False,"{'NI>0': True, 'ICR>3.5': True, 'D/E<2': True, 'CR>1': True, 'Sales↑': True}",3,1.357,4.248,LEADING,4.28,True,1.04,22.81,0.73,59.5,,True,False,False,False,4.3,,1528.2,1425.72,1784.41,1979.9,2.5,16.77,6.71,No higher-low structure (recent 1452.10 <= prior 1461.70) | No higher-low structure (recent 1452.10 <= prior 1461.70) | No climax bar detected,9.8,67.2
